Source,Target,Weight
frontend,currencyservice,1
frontend,recommendationservice,1
frontend,cartservice,1
checkoutservice,currencyservice,1
checkoutservice,shippingservice,1
frontend,checkoutservice,1
recommendationservice,productcatalogservice,1
frontend,adservice,1
checkoutservice,cartservice,1
frontend,productcatalogservice,1
frontend,shippingservice,1
checkoutservice,emailservice,1
checkoutservice,paymentservice,1
checkoutservice,productcatalogservice,1
adservice,mysql,1
cartservice,redis-cart,1
gateway,nats,1
productcatalogservice,mysql,1
adservice,33.33.33.82,1
cartservice,33.33.33.80,1
checkoutservice,33.33.33.227,1
currencyservice,33.33.33.227,1
emailservice,33.33.33.80,1
frontend,33.33.33.79,1
loadgenerator,33.33.33.79,1
loadgenerator,33.33.33.79,1
mysql,33.33.33.155,1
paymentservice,33.33.33.115,1
productcatalogservice,33.33.33.155,1
recommendationservice,33.33.33.82,1
redis-cart,33.33.33.80,1
shippingservice,33.33.33.82,1
